iceberg_id,latitude,longitude,area_km2,confidence,timestamp,pixel_count,id,size_major_km,size_minor_km
IB_078,-65.749925,135.711111,0.2592,0.9316,2021-03-10 10:48:42,162,IB_078,0.574476883778063,0.574476883778063
IB_079,-65.814042,135.854968,0.248,0.9157,2021-03-10 10:48:42,155,IB_079,0.5619282935520513,0.5619282935520513
IB_080,-65.961136,136.188209,0.2368,0.8912,2021-03-10 10:48:42,148,IB_080,0.5490930014062159,0.5490930014062159
IB_081,-66.026547,136.446031,0.2368,0.8825,2021-03-10 10:48:42,148,IB_081,0.5490930014062159,0.5490930014062159
IB_082,-65.746551,135.656381,0.2336,0.9113,2021-03-10 10:48:42,146,IB_082,0.5453702940664572,0.5453702940664572
IB_083,-65.877841,136.471534,0.2304,0.9446,2021-03-10 10:48:42,144,IB_083,0.541622000205846,0.541622000205846
IB_084,-65.940429,135.853604,0.2096,0.9126,2021-03-10 10:48:42,131,IB_084,0.516595594809412,0.516595594809412
IB_085,-65.896529,136.230522,0.2064,0.932,2021-03-10 10:48:42,129,IB_085,0.5126369495396694,0.5126369495396694
IB_086,-66.095389,136.170732,0.1968,0.9032,2021-03-10 10:48:42,123,IB_086,0.5005732138297854,0.5005732138297854
IB_087,-65.862049,136.166963,0.1952,0.8749,2021-03-10 10:48:42,122,IB_087,0.4985342105937202,0.4985342105937202
IB_088,-65.94494,135.835443,0.1936,0.8856,2021-03-10 10:48:42,121,IB_088,0.49648683352202555,0.49648683352202555
IB_089,-65.849762,136.263159,0.1936,0.9392,2021-03-10 10:48:42,121,IB_089,0.49648683352202555,0.49648683352202555
IB_090,-65.955455,136.453212,0.192,0.925,2021-03-10 10:48:42,120,IB_090,0.49443097858968266,0.49443097858968266
IB_091,-65.717683,136.077219,0.1824,0.5029,2021-03-10 10:48:42,114,IB_091,0.4819117066016281,0.4819117066016281
IB_092,-65.819787,136.478259,0.1792,0.7921,2021-03-10 10:48:42,112,IB_092,0.4776657057153477,0.4776657057153477
IB_093,-65.687731,136.029133,0.168,0.908,2021-03-10 10:48:42,105,IB_093,0.4624978308224887,0.4624978308224887
IB_094,-65.698032,136.286165,0.168,0.8383,2021-03-10 10:48:42,105,IB_094,0.4624978308224887,0.4624978308224887
IB_095,-65.823965,135.662037,0.1648,0.7757,2021-03-10 10:48:42,103,IB_095,0.4580719124464573,0.4580719124464573
IB_096,-65.906496,136.448163,0.1632,0.8993,2021-03-10 10:48:42,102,IB_096,0.45584283881704074,0.45584283881704074
IB_097,-65.819587,136.436629,0.1472,0.6492,2021-03-10 10:48:42,92,IB_097,0.4329213103844808,0.4329213103844808
IB_098,-65.831925,136.000021,0.1344,0.7726,2021-03-10 10:48:42,84,IB_098,0.41367063566611284,0.41367063566611284
IB_099,-65.832908,135.799398,0.1328,0.8957,2021-03-10 10:48:42,83,IB_099,0.41120093815655334,0.41120093815655334
IB_100,-65.843784,136.545754,0.1328,0.7335,2021-03-10 10:48:42,83,IB_100,0.41120093815655334,0.41120093815655334
IB_101,-65.894685,135.712341,0.1312,0.6011,2021-03-10 10:48:42,82,IB_101,0.4087163175960233,0.4087163175960233
IB_102,-65.716583,135.713054,0.128,0.8714,2021-03-10 10:48:42,80,IB_102,0.40370120352322564,0.40370120352322564
IB_103,-66.003456,136.490205,0.128,0.8834,2021-03-10 10:48:42,80,IB_103,0.40370120352322564,0.40370120352322564
IB_104,-65.809015,136.449251,0.1216,0.8573,2021-03-10 10:48:42,76,IB_104,0.3934792607492748,0.3934792607492748
IB_105,-66.016114,136.262598,0.12,0.8165,2021-03-10 10:48:42,75,IB_105,0.3908820095223359,0.3908820095223359
IB_106,-65.686892,136.00756,0.1184,0.8913,2021-03-10 10:48:42,74,IB_106,0.3882673847964097,0.3882673847964097
IB_107,-65.714169,136.256746,0.1184,0.8374,2021-03-10 10:48:42,74,IB_107,0.3882673847964097,0.3882673847964097
IB_108,-65.945655,136.445565,0.1168,0.9218,2021-03-10 10:48:42,73,IB_108,0.3856350331920934,0.3856350331920934
IB_109,-65.747239,135.735039,0.1152,0.9097,2021-03-10 10:48:42,72,IB_109,0.38298458918537537,0.38298458918537537
IB_110,-65.746871,135.756623,0.1152,0.8006,2021-03-10 10:48:42,72,IB_110,0.38298458918537537,0.38298458918537537
IB_111,-65.698129,135.737763,0.1024,0.8572,2021-03-10 10:48:42,64,IB_111,0.36108133347056404,0.36108133347056404
IB_112,-66.03591,136.256169,0.0992,0.7953,2021-03-10 10:48:42,62,IB_112,0.3553946578632382,0.3553946578632382
IB_113,-66.009015,136.483434,0.0992,0.9039,2021-03-10 10:48:42,62,IB_113,0.3553946578632382,0.3553946578632382
IB_114,-65.874197,135.835686,0.0976,0.5877,2021-03-10 10:48:42,61,IB_114,0.3525169209643019,0.3525169209643019
IB_115,-66.094244,136.146653,0.096,0.8793,2021-03-10 10:48:42,60,IB_115,0.3496154977894653,0.3496154977894653
IB_116,-65.868021,136.023324,0.0944,0.5241,2021-03-10 10:48:42,59,IB_116,0.34668979365276875,0.34668979365276875
IB_117,-65.816892,135.841022,0.0896,0.7709,2021-03-10 10:48:42,56,IB_117,0.3377606596515802,0.3377606596515802
IB_118,-65.894489,136.374278,0.0832,0.8772,2021-03-10 10:48:42,52,IB_118,0.3254743156102575,0.3254743156102575
IB_119,-65.94254,136.458622,0.08,0.8962,2021-03-10 10:48:42,50,IB_119,0.31915382432114614,0.31915382432114614
IB_120,-66.034353,136.10323,0.0784,0.6345,2021-03-10 10:48:42,49,IB_120,0.31594616678674353,0.31594616678674353
IB_121,-65.713754,136.141984,0.0768,0.7791,2021-03-10 10:48:42,48,IB_121,0.31270560761786875,0.31270560761786875
IB_122,-65.689175,136.149102,0.0752,0.7429,2021-03-10 10:48:42,47,IB_122,0.30943111311580196,0.30943111311580196
IB_123,-66.078338,136.003159,0.0736,0.8045,2021-03-10 10:48:42,46,IB_123,0.3061215942930325,0.3061215942930325
IB_124,-65.955316,135.851756,0.0736,0.8063,2021-03-10 10:48:42,46,IB_124,0.3061215942930325,0.3061215942930325
IB_125,-66.036753,136.217132,0.072,0.8639,2021-03-10 10:48:42,45,IB_125,0.3027759026424192,0.3027759026424192
IB_126,-66.008775,136.311981,0.072,0.8729,2021-03-10 10:48:42,45,IB_126,0.3027759026424192,0.3027759026424192
IB_127,-66.077821,136.238207,0.0704,0.777,2021-03-10 10:48:42,44,IB_127,0.2993928254807644,0.2993928254807644
IB_128,-65.870021,136.045404,0.0704,0.6999,2021-03-10 10:48:42,44,IB_128,0.2993928254807644,0.2993928254807644
IB_129,-65.824303,136.064146,0.0704,0.512,2021-03-10 10:48:42,44,IB_129,0.2993928254807644,0.2993928254807644
IB_130,-65.976474,136.486143,0.0704,0.8928,2021-03-10 10:48:42,44,IB_130,0.2993928254807644,0.2993928254807644
IB_131,-65.684705,136.050052,0.0704,0.8248,2021-03-10 10:48:42,44,IB_131,0.2993928254807644,0.2993928254807644
IB_132,-65.839596,136.052338,0.0688,0.6204,2021-03-10 10:48:42,43,IB_132,0.2959710808132768,0.2959710808132768
